citation_journal,link,PMID
"Burton JR, Liangpunsakul S, Lapidus J, Giannini E, Chalasani N, Zaman A. Validation of a multivariate model predicting presence and size of varices.  Journal of Clinical Gastroenterology 2007;41(6):609‐15. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17577118,17577118
"Pilette C, Oberti F, Aube C, Rousselet MC, Bedossa P, Gallois Y, et al. Non‐invasive diagnosis of esophageal varices in chronic liver diseases.  Journal of Hepatology 1999;31(5):867‐73. [PUBMED: 10580584]CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/10580584,10580584
"Burton JR, Liangpunsakul S, Lapidus J, Giannini E, Chalasani N, Zaman A. Validation of a multivariate model predicting presence and size of varices.  Journal of Clinical Gastroenterology 2007;41(6):609‐15. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17577118,17577118
"Mosqueira JR, Montiel JB, Rodriguez D, Monge E. Evaluation of the diagnostic test of index platelet counts/size spleen, as a predictor of the presence of esophageal varices in cirrhosis [Spanish].  Revista de Gastroenterologia del Peru 2011;31(1):11‐6. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21544150,21544150
"Madhotra R, Mulcahy HE, Willner I, Reuben A. Prediction of esophageal varices in patients with cirrhosis.  Journal of Clinical Gastroenterology 2002;34(1):81‐5. [PUBMED: 11743252]CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11743252,11743252
"Zein CO, Lindor KD, Angulo P. Prevalence and predictors of esophageal varices in patients with primary sclerosing cholangitis.  Hepatology (Baltimore, Md) 2004;39(1):204‐10. [PUBMED: 14752839]CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/14752839,14752839
"Jeon SW, Cho CM, Tak WY, Ryeom HK, Kweon YO, Kim SK, et al. The value of Doppler‐ultrasonography and laboratory tests as non‐invasive predictors of the presence of esophageal varices in patients with chronic liver disease.  Korean Journal of Gastroenterology 2006;48(3):180‐7. [PUBMED: 17047433]CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17047433,17047433
"Zaman A, Becker T, Lapidus J, Benner K. Risk factors for the presence of varices in cirrhotic patients without a history of variceal hemorrhage.  Archives of Internal Medicine 2001;161(21):2564‐70. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/11718587,11718587
"Tarantino G, Citro V, Esposito P, Giaquinto S, Leone A, Milan G, et al. Blood ammonia levels in liver cirrhosis: a clue for the presence of portosystemic collateral veins.  BMC Gastroenterology 2009;9:21. [PUBMED: 19292923]CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19292923,19292923
"Abu El Makarem MA, Shatat ME, Shaker Y, Abdel Aleem AA, Sherif AM, Moaty MA, et al. Platelet count/bipolar spleen diameter ratio for the prediction of esophageal varices: the special Egyptian situation.  Hepatitis Monthly 2011;11:278‐84. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22087154,22087154
"Sharma P, Kirnake V, Tyagi P, Bansal N, Singla V, Kumar A, et al. Spleen stiffness in patients with cirrhosis in predicting esophageal varices.  American Journal of Gastroenterology 2013;108(7):1101‐7. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23629600,23629600
"Gana JC, Turner D, Mieli‐Vergani G, Davenport M, Miloh T, Avitzur Y, et al. A clinical prediction rule and platelet count predict esophageal varices in children.  Gastroenterology 2011;141(6):2009‐16. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/21925123,21925123
