citation_journal,link,PMID
"Walsh NP, Fortes MB, Purslow C, Esmeelpour M. Author response: Is whole‐body hydration an important consideration in dry eye?.  Investigative Ophthalmology & Visual Science 2013;54(3):1713–4. [MEDLINE: 23471906]    PubMed     Google Scholar   Web of Science® Times Cited: 1",https://www.ncbi.nlm.nih.gov/pubmed/23471906,23471906
"Perren A, Markmann M, Merlani G, Marone C, Merlani P. Fluid balance in critically ill patients ‐ should we really rely on it?.  Minerva Anestesiologica 2011;77(8):802‐11. [MEDLINE: 21730928]    PubMed     Google Scholar   Web of Science® Times Cited: 17",https://www.ncbi.nlm.nih.gov/pubmed/21730928,21730928
"Culp K, Mentes J, Wakefield B. Hydration and acute confusion in long‐term care residents.  Western Journal of Nursing Research 2003;25(3):251‐66. [MEDLINE: 12705111]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 10",https://www.ncbi.nlm.nih.gov/pubmed/12705111,12705111
"Johnson TM, Miller M, Pillion DJ, Ouslander JG. Arginine vasopressin and nocturnal polyuria in older adults with frequent nighttime voiding.  Journal of Urology 2003;170(2 Pt 1):480‐4. [MEDLINE: 12853804]  Link to article   PubMed     Google Scholar   CAS Web of Science® Times Cited: 17",https://www.ncbi.nlm.nih.gov/pubmed/12853804,12853804
"Chassagne P, Druesne L, Capet C, Menard JF, Bercoff E. Clinical presentation of hypernatremia in elderly patients: a case control study.  Journal of the American Geriatrics Society 2006;54(8):1225‐30. [MEDLINE: 16913989]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 22",https://www.ncbi.nlm.nih.gov/pubmed/16913989,16913989
"Rowat A, Smith L, Graham C, Lyle D, Horsburgh D, Dennis M. A pilot study to assess if urine specific gravity and urine colour charts are useful indicators of dehydration in acute stroke patients.  Journal of Advanced Nursing 2011;67(9):1976‐83. [MEDLINE: 21507048]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 8",https://www.ncbi.nlm.nih.gov/pubmed/21507048,21507048
"Allison RD, Ray Lewis A, Liedtke R, Buchmeyer ND, Frank H. Early identification of hypovolemia using total body resistance measurements in long‐term care facility residents.  Gender Medicine 2005;2(1):19‐34. [MEDLINE: 16115595]  Link to article   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/16115595,16115595
"Kinoshita K, Hattori K, Ota Y, Kanai T, Shimizu M, Kobayashi H, et al. The measurement of axillary moisture for the assessment of dehydration among older patients: a pilot study.  Experimental Gerontology 2013;48(2):255‐8. [MEDLINE: 23063989]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 4",https://www.ncbi.nlm.nih.gov/pubmed/23063989,23063989
"Bossingham MJ, Carnell NS, Campbell WW. Water balance, hydration status, and fat‐free mass hydration in younger and older adults.  American Journal of Clinical Nutrition 2005;81(6):1342‐50. [MEDLINE: 15941885]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 53",https://www.ncbi.nlm.nih.gov/pubmed/15941885,15941885
"Walsh NP, Fortes MB, Raymond‐Barker P, Bishop C, Owen J, Tye E, et al. Is whole‐body hydration an important consideration in dry eye?.  Investigative Ophthalmology & Visual Science 2012;53(10):6622‐7. [MEDLINE: 22952120]  Link to article   PubMed     Google Scholar   Web of Science® Times Cited: 12",https://www.ncbi.nlm.nih.gov/pubmed/22952120,22952120
