citation_journal,link,PMID
"Kim W, Han I, Kim EJ, Kang S, Kim H. Outcomes of curettage and anhydrous alcohol adjuvant for low‐grade chondrosarcoma of long bone.  Surgical Oncology 2015;24:89‐94. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25912950,25912950
"Geest IC, Valk MH, Rooy JW, Pruszczynski M, Veth RP, Schreuder HW. Oncological and functional results of cryosurgical therapy of enchondromas and chondrosarcomas grade 1.  Journal of Surgical Oncology 2008;98(6):421‐6. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/18668642,18668642
"Donati D, Colangeli S, Colangeli M, Bella C, Bertoni F. Surgical treatment of grade I central chondrosarcoma.  Clinical Orthopaedics and Related Research 2010;468(2):581‐9. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19727994,19727994
"Aarons C, Potter BK, Adams SC, Pitcher DJ, Templet TH. Extended intralesional treatment versus resection of low‐grade chondrosarcomas.  Clinical Orthopaedics and Related Research 2009;467:2105–11. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19142690,19142690
"Leerapun T, Hugate RR, Inwards CY, Scully SP, Sim FH. Surgical management of conventional grade I chondrosarcoma of long bones.  Clinical Orthopaedics and Related Research 2007;463:166‐72. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/17632422,17632422
"Gunay C, Atalar H, Hapa O, Basarir K, Yildiz, Saglik Y. Surgical management of Grade I chondrosarcoma of the long bones.  Acta Orthopaedica Belgica 2013;79:331‐7. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23926738,23926738
"Giorgio L, Touloupakis G, Vitullo F, Sodano L, Mastantuono M, Villani C. Intralesional curettage, with phenol and cement as adjuvants, for low‐grade intramedullary chondrosarcoma of the long bones.  Acta Orthopaedica Belgica 2011;77:666‐9. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22187844,22187844
"Etchebehere M, Camargo OP, Croci AT, Oliveira CR, Baptista AM. Relationship between surgical procedure and outcome for patients with grade I chondrosarcomas.  Clinics (Sao Paulo, Brazil) 2005;60:121‐6. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/15880247,15880247
"Bauer HC, Brosjo O, Kreicbergs A, Lindholm J. Low risk of recurrence of enchondroma and low‐grade chondrosarcoma in extremities. 80 patients followed for 2 ‐ 25 years.  Acta Orthopaedica Scandinavica 1995;66(3):283‐8. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/7604716,7604716
"Campanacci DA, Scoccianti G, Franchi A. Surgical treatment of central grade 1 chondrosarcoma of the appendicular skeleton.  Journal of Orthopaedics and Traumatology 2013;14:101‐7. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23462877,23462877
"Funovics PT, Panotopoulos J, Sabeti‐Aschraf M, Abdolvahab F, Funovics JM, Lang S, et al. Low‐grade chondrosarcoma of bone: experiences from the Vienna Bone and Soft Tissue Tumour Registry.  International Orthopaedics 2011;35(7):1049‐56. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20803012,20803012
"Mermerkaya MU, Bekmez S, Karaaslan F, Danisman M, Kosemehmetoglu K, Gedikoglu G, et al. Intralesional curettage and cementation for low‐grade chondrosarcoma of long bones: retrospective study and literature review.  World Journal of Surgical Oncology 2014;12:336‐41. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25382793,25382793
"Verdegaal SH, Brouwers HF, Zwet EW, Hogendoorn PC, Taminiau AH. Low‐grade chondrosarcoma of long bones treated with intralesional curettage followed by application of phenol, ethanol, and bone‐grafting.  Journal of Bone and Joint Surgery. American Volume 2012;94(13):1201‐7. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/22760388,22760388
"Dierselhuis EF, Gerbers JG, Ploegmakers JJW, Stevens M, Suurmeijer AJH, Jutte PC. Local treatment with adjuvant therapy for central atypical cartilaginous tumors in the long bones.  Journal of Bone and Joint Surgery 2016;98:303‐13. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26888678,26888678
"Chen YC, Wu PK, Chen CF, Chen WM. Intralesional curettage of central low‐grade chondrosarcoma: a midterm follow‐up study.  Journal of the Chinese Medical Association : JCMA 2017;80(3):178‐82. CENTRAL    PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27889461,27889461
"Hanna SA, Whittingham‐Jones P, Sewell MD, Pollock RC, Skinner JA, Saifuddin A, et al. Outcome of intralesional curettage for low‐grade chondrosarcoma of long bones.  Journal of Cancer Surgery 2009;35:1343‐47. CENTRAL    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/19570648,19570648
"Mohler DG, Chiu R, McCall DA, Avedian RS. Curettage and cryosurgery for low‐grade cartilage tumors is associated with low recurrence and high function.  Clinical Orthopaedics and Related Research 2010;10(468):2765‐73. CENTRAL    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/20574801,20574801
"Kim W, Lee JS, Chung HW. Outcomes after extensive manual curettage and limited burring for atypical cartilaginous tumour of long bone.  Journal of Bone and Joint Surgery. British Volume 2018;100‐B(2):256‐61. CENTRAL    Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29437070,29437070
