citation_journal,link,PMID
"Singh S, Maltais F, Tombs L, Fahy WA, Vahdati‐Bolouri M, Locantore N, et al. Relationship between exercise endurance and static hyperinflation in a post hoc analysis of two clinical trials in patients with COPD.  International Journal of Chronic Obstructive Pulmonary Disease 2018;13:203‐15.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29386889,29386889
"O'Donnell DE, Casaburi R, Frith P, Kirsten A, Sousa D, Hamilton A, et al. Effects of combined tiotropium/olodaterol on inspiratory capacity and exercise endurance in COPD.  European Respiratory Journal 2017;49(4):1601348. [DOI: 10.1183/13993003.01348‐2016] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/28424359,28424359
"Zheng J, Zhong N, Newlands A, Church A, Goh AH. Efficacy and safety of once‐daily inhaled umeclidinium/vilanterol in Asian patients with COPD: results from a randomized, placebo‐controlled study.  International Journal of Chronic Obstructive Pulmonary Disease 2015;10(1):1753‐67. [1178‐2005] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26366068,26366068
"Donohue JF, Maleki‐Yazdi MR, Kilbride S, Mehta R, Kalberg C, Church A. Efficacy and safety of once‐daily umeclidinium/vilanterol 62.5/25 mcg in COPD.  Respiratory Medicine 2013;107(10):1538‐46.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23830094,23830094
"Singh D, Maleki‐Yazdi MR, Tombs L, Iqbal A, Fahy WA, Naya I. Prevention of clinically important deteriorations in COPD with umeclidinium/vilanterol.  International Journal of Chronic Obstructive Pulmonary Disease 2016;11(1):1413‐24. [1178‐2005] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27445468,27445468
"Mahler DA, Decramer M, D'Urzo A, Worth H, White T, Alagappan VKT, et al. Dual bronchodilation with QVA149 reduces patient‐reported dyspnoea in COPD: the BLAZE study.  European Respiratory Journal 2014;43(6):1599‐609.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/24176997,24176997
"Singh D, Ferguson GT, Bolitschek J, Gronke L, Hallmann C, Bennett N, et al. Tiotropium + olodaterol shows clinically meaningful improvements in quality of life.  Respiratory Medicine 2015;109(10):1312‐9.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26320402,26320402
"Maltais F, Singh S, Donald AC, Crater G, Church A, Goh AH, et al. Effects of a combination of umeclidinium/vilanterol on exercise endurance in patients with chronic obstructive pulmonary disease: two randomized, double‐blind clinical trials.  Therapeutic Advances in Respiratory Disease 2014;8(6):169‐81. [1753‐4666] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/25452426,25452426
"Singh D, Gaga M, Schmidt O, Bjermer L, Gronke L, Voss F, et al. Effects of tiotropium + olodaterol versus tiotropium or placebo by COPD disease severity and previous treatment history in the OTEMTO(R) studies.  Respiratory Research 2016;17(1):73.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27316465,27316465
"Dahl R, Chapman KR, Rudolf M, Mehta R, Kho P, Alagappan VK, et al. Safety and efficacy of dual bronchodilation with QVA149 in COPD patients: the ENLIGHTEN study.  Respiratory Medicine 2013;107(10):1558‐67.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/23867808,23867808
"Singh D, Gaga M, Schmidt O, Bjermer L, Gronke L, Voss F, et al. Effects of tiotropium + olodaterol versus tiotropium or placebo by COPD disease severity and previous treatment history in the OTEMTO(R) studies.  Respiratory Research 2016;17(1):73.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27316465,27316465
"Maltais F, O'Donnell D, Gáldiz Iturri JB, Kirsten AM, Singh D, Hamilton A, et al. Effect of 12 weeks of once‐daily tiotropium/olodaterol on exercise endurance during constant work‐rate cycling and endurance shuttle walking in chronic obstructive pulmonary disease.  Therapeutic Advances in Respiratory Disease 2018;12:1753465818755091. [DOI: 10.1177/1753465818755091] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/29439648,29439648
"Singh D, Ferguson GT, Bolitschek J, Gronke L, Hallmann C, Bennett N, et al. Tiotropium + olodaterol shows clinically meaningful improvements in quality of life.  Respiratory Medicine 2015;109(10):1312‐9.  CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/26320402,26320402
"Asai K, Hirata K, Hashimoto S, Fukuchi Y, Kitawaki T, Ikeda K, et al. Efficacy and safety of indacaterol/glycopyrronium in Japanese patients with COPD: pooled analysis of SHINE and ARISE.  Respiratory Investigation 2016;54(6):428‐35. [2212‐5353] CENTRAL   PubMed     Google Scholar",https://www.ncbi.nlm.nih.gov/pubmed/27886854,27886854
