id,previous,new,both,discarded,total
CD007394,45.0,5.0,45.0,0.0,50.0
CD007427,8.0,24.0,8.0,0.0,32.0
CD008054,30.0,12.0,30.0,0.0,42.0
CD008081,10.0,0.0,10.0,0.0,10.0
CD008122,62.0,6.0,61.0,1.0,67.0
CD008587,35.0,4.0,35.0,0.0,39.0
CD008643,2.0,6.0,2.0,0.0,8.0
CD008686,3.0,5.0,3.0,0.0,8.0
CD008691,19.0,3.0,19.0,0.0,22.0
CD008759,52.0,3.0,48.0,4.0,51.0
CD008760,9.0,3.0,9.0,0.0,12.0
CD008782,34.0,9.0,34.0,0.0,43.0
CD008803,99.0,7.0,99.0,0.0,106.0
CD008892,34.0,0.0,34.0,0.0,34.0
CD009020,12.0,8.0,12.0,0.0,20.0
CD009135,19.0,0.0,19.0,0.0,19.0
CD009175,7.0,0.0,7.0,0.0,7.0
CD009185,23.0,3.0,23.0,0.0,26.0
CD009263,11.0,1.0,10.0,1.0,11.0
CD009323,9.0,7.0,9.0,0.0,16.0
CD009372,10.0,0.0,10.0,0.0,10.0
CD009519,46.0,4.0,46.0,0.0,50.0
CD009551,16.0,13.0,16.0,0.0,29.0
CD009579,79.0,7.0,79.0,0.0,86.0
CD009591,41.0,1.0,41.0,0.0,42.0
CD009593,20.0,79.0,12.0,8.0,91.0
CD009647,17.0,10.0,17.0,0.0,27.0
CD009694,10.0,0.0,10.0,0.0,10.0
CD009786,6.0,12.0,6.0,0.0,18.0
CD009925,55.0,15.0,55.0,0.0,70.0
CD009944,60.0,6.0,60.0,0.0,66.0
CD010023,14.0,3.0,14.0,0.0,17.0
CD010173,10.0,6.0,10.0,0.0,16.0
CD010213,40.0,7.0,39.0,1.0,46.0
CD010276,24.0,17.0,24.0,0.0,41.0
CD010296,38.0,1.0,38.0,0.0,39.0
CD010339,9.0,0.0,9.0,0.0,9.0
CD010386,1.0,19.0,1.0,0.0,20.0
CD010409,27.0,15.0,27.0,0.0,42.0
CD010438,2.0,1.0,2.0,0.0,3.0
CD010502,82.0,4.0,82.0,0.0,86.0
CD010542,8.0,7.0,8.0,0.0,15.0
CD010632,14.0,2.0,14.0,0.0,16.0
CD010633,3.0,0.0,3.0,0.0,3.0
CD010653,0.0,23.0,0.0,0.0,23.0
CD010657,37.0,7.0,37.0,0.0,44.0
CD010680,1.0,0.0,1.0,0.0,1.0
CD010705,18.0,7.0,18.0,0.0,25.0
CD010864,3.0,1.0,3.0,0.0,4.0
CD011053,9.0,0.0,9.0,0.0,9.0
CD011126,12.0,0.0,12.0,0.0,12.0
CD011134,48.0,2.0,48.0,0.0,50.0
CD011420,8.0,9.0,8.0,0.0,17.0
CD011431,34.0,3.0,32.0,2.0,35.0
CD011515,2.0,0.0,2.0,0.0,2.0
CD011549,1.0,14.0,1.0,0.0,15.0
CD011602,1.0,0.0,1.0,0.0,1.0
CD011686,3.0,1.0,3.0,0.0,4.0
CD011912,18.0,3.0,18.0,0.0,21.0
CD011926,31.0,0.0,31.0,0.0,31.0
CD011975,60.0,8.0,60.0,0.0,68.0
CD012009,4.0,0.0,4.0,0.0,4.0
CD012010,9.0,0.0,8.0,1.0,8.0
CD012019,1.0,7.0,1.0,0.0,8.0
CD012083,7.0,0.0,7.0,0.0,7.0
CD012165,52.0,0.0,52.0,0.0,52.0
CD012179,127.0,1.0,127.0,0.0,128.0
CD012216,1.0,4.0,1.0,0.0,5.0
CD012281,10.0,0.0,10.0,0.0,10.0
CD012599,19.0,4.0,19.0,0.0,23.0
CD005139,79.0,11.0,71.0,8.0,82.0
CD005253,3.0,0.0,3.0,0.0,3.0
CD006715,69.0,2.0,65.0,4.0,67.0
CD007868,120.0,3.0,114.0,6.0,117.0
CD008018,13.0,0.0,12.0,1.0,12.0
CD008170,83.0,2.0,82.0,1.0,84.0
